31,32,36
48,55,20
14,16,1
43,53,49
47,54,25
4,9,10
4,9,20
48,49,17
16,25,31
32,36,19
17,22,39
19,28,10
23,30,6
26,31,49
43,47,43
38,41,25
25,32,15
42,44,40
36,46,45
43,48,4
30,39,10
6,12,10
8,17,15
37,44,16
9,19,33
46,55,34
8,17,24
40,42,34
11,13,17
40,50,25
46,50,28
21,30,48
40,47,10
43,44,40
10,14,27
13,14,1
13,20,9
27,35,13
12,21,18
20,26,46
6,8,33
38,45,32
20,30,5
8,11,3
1,8,4
3,4,19
28,32,40
5,13,28
21,24,4
43,51,26
31,40,48
46,52,12
8,12,24
30,31,4
41,51,49
27,31,24
4,7,10
27,37,38
31,33,44
6,15,27
12,18,14
48,50,3
12,14,35
28,34,36
45,51,43
30,31,11
1,7,2
34,36,50
19,24,18
2,11,49
2,5,33
43,52,37
36,38,2
2,11,9
22,28,1
4,13,27
31,38,7
38,41,1
22,32,12
1,8,3
0,6,42
3,6,5
14,24,50
30,34,42
35,39,36
23,26,43
28,32,29
49,55,1
16,17,2
11,21,5
20,27,31
47,48,12
32,37,4
20,21,7
48,58,47
22,28,23
22,23,35
44,48,20
38,40,49
10,19,44
16,22,43
37,45,36
9,11,30
40,41,6
6,16,21
9,15,38
30,35,39
48,57,44
37,45,28
43,47,1
6,15,12
15,18,27
29,37,23
46,52,16
44,48,2
27,34,36
8,12,47
20,22,33
27,32,25
43,53,36
7,10,14
40,43,1
31,37,11
17,22,12
4,13,8
47,50,16
27,33,2
15,20,19
9,13,42
2,6,31
33,36,41
19,21,44
5,6,19
36,44,43
48,57,7
20,21,18
42,52,38
40,41,2
43,53,20
12,18,42
44,49,30
7,17,10
27,28,24
28,38,38
11,16,5
4,13,44
2,5,45
19,26,49
23,26,45
46,51,6
27,29,26
35,45,21
34,39,39
39,41,24
14,24,50
31,32,32
31,40,44
19,25,28
17,19,29
31,41,30
31,35,40
36,45,2
0,7,27
34,41,41
31,35,39
18,21,48
29,32,34
20,26,25
2,12,27
7,16,50
10,14,13
24,33,8
7,17,42
8,11,6
27,37,50
18,21,25
45,54,22
11,16,27
31,35,29
7,13,27
2,8,35
23,30,33
11,14,29
15,25,45
40,43,5
3,13,6
14,15,32
22,29,21
13,23,37
39,40,47
33,42,15
48,53,7
30,37,29
31,37,19
18,22,16
33,37,46
8,13,6
29,30,48
1,2,46
7,8,21
